order_id,distance_km,delivery_time,order_value,peak_hour,batch_size,rider_idle_time,warehouse_wait_time,cancelled,city_zone
65,10.98,47,2279,1,5,10,19,0,North
66,7.85,29,1693,0,2,4,13,0,South
67,10.39,24,2202,1,1,6,13,1,South
68,10.8,53,1861,1,4,16,15,0,East
69,10.65,18,1754,0,5,24,19,0,West
70,11.33,41,423,0,5,1,17,1,West
71,8.18,47,779,1,3,15,1,1,North
72,9.13,24,2007,1,1,1,10,1,West
73,6.27,55,380,1,1,2,5,1,South
74,3.59,52,1426,0,1,20,9,1,East
75,2.82,15,2018,1,5,14,17,1,North
76,9.24,18,723,1,3,26,16,1,North
77,10.03,35,875,1,3,22,14,0,North
78,5.75,20,1912,0,3,22,7,1,East
79,5.19,26,1265,1,5,15,9,0,East
80,1.42,19,1881,1,1,20,9,1,North
81,10.24,26,912,1,1,30,13,0,North
82,9.67,47,1305,0,5,1,4,0,East
83,6.77,57,1866,1,1,17,11,0,North
84,8.86,46,731,1,5,8,9,1,West
85,3.72,22,1004,1,4,29,15,0,West
86,11.55,55,2166,1,1,3,7,0,East
87,5.83,44,617,1,4,21,3,1,North
88,7.82,10,249,1,4,22,1,1,North
89,7.45,39,612,0,3,29,2,1,North
90,7.98,28,2344,1,3,25,11,1,South
91,9.73,41,1941,0,3,17,18,1,East
92,9.44,57,771,0,5,29,14,1,West
93,10.56,36,1072,1,1,3,4,1,East
94,6.42,16,2091,0,5,6,14,0,North
95,5.86,46,1074,0,4,7,14,1,South
96,1.82,54,729,0,2,7,5,0,West
97,4.64,46,945,1,2,11,11,0,West
98,3.37,58,362,1,4,12,4,1,East
99,5.91,50,635,1,1,29,1,1,West
100,10.35,16,2045,1,5,11,13,1,North
101,9.14,25,1448,1,4,20,9,0,East
102,3.78,52,1451,0,2,25,19,1,West
103,4.26,17,2293,1,4,14,18,0,East
104,11.31,53,409,0,3,15,7,1,West
105,4.59,51,2085,0,5,22,15,0,West
106,1.74,24,536,1,3,24,1,1,East
107,3.53,50,1831,1,1,14,17,0,South
108,4.64,10,464,1,5,21,7,0,West
109,3.6,49,1459,1,1,13,11,0,North
110,10.31,27,1421,0,3,25,19,1,South
111,3.03,47,845,1,3,24,11,0,South
112,10.68,44,548,1,2,8,16,0,East
113,2.91,52,1993,0,1,29,12,1,East
114,8.24,44,870,1,5,18,7,0,North
115,3.88,52,2420,0,1,22,7,1,East
116,4.17,37,901,1,5,27,8,0,West
117,6.02,15,470,0,5,17,19,1,West
118,2.63,43,478,0,4,0,16,1,East
119,8.39,37,650,0,3,15,6,0,East
120,8.15,31,766,0,4,23,19,1,East
121,11.78,19,1529,1,5,9,12,0,West
122,9.12,14,1022,1,4,6,3,0,West
123,10.2,53,1488,0,5,15,6,1,North
124,4.9,53,2396,0,2,9,5,1,East
125,3.86,50,2058,0,4,17,7,0,South
126,4.12,37,1807,1,5,16,16,1,South
127,5.53,42,2363,0,4,20,12,0,South
128,11.24,35,733,0,3,25,1,0,West
129,11.1,34,241,0,4,2,10,0,North
130,8.83,32,1784,0,3,3,12,0,East
131,6.6,40,2184,0,2,6,3,1,South
132,8.46,30,1380,1,3,0,20,0,South
133,11.89,11,1569,0,1,19,16,0,South
134,9.32,43,548,0,4,28,13,1,East
135,11.1,57,2253,1,3,8,7,0,East
136,8.75,58,2467,1,4,28,9,1,North
137,4.25,19,2175,1,1,4,19,0,West
138,3.17,23,2026,1,2,22,11,1,East
139,7.54,45,230,1,1,4,15,1,West
140,7.62,19,664,1,2,14,7,0,South
141,3.96,24,552,0,4,1,5,1,East
142,10.33,18,2084,1,1,11,13,0,South
143,7.68,50,2267,0,3,7,2,1,West
144,7.51,14,1207,1,2,24,6,0,South
145,1.68,30,1790,1,4,25,1,1,North
146,5.82,32,278,0,4,10,14,0,North
147,9.24,50,573,0,5,9,4,1,North
148,5.14,45,1490,0,4,3,15,1,West
149,9.11,57,1726,0,4,1,20,0,North
150,7.12,21,273,1,1,13,12,1,East
151,11.99,14,351,1,3,10,10,0,East
152,1.63,48,554,1,5,7,8,1,North
153,10.35,25,1783,1,1,7,19,1,West
154,7.28,30,1453,0,3,15,11,0,West
155,10.68,46,1938,0,3,17,17,1,East
156,6.46,14,1885,1,4,16,14,1,North
157,4.24,34,477,1,4,21,15,0,East
158,11.2,21,1280,1,4,24,15,1,North
159,2.92,43,223,0,3,4,15,1,East
160,9.71,35,1588,1,5,16,2,1,West
161,1.81,10,442,0,1,10,14,0,South
162,5.89,40,886,1,3,3,9,0,North
163,4.22,36,824,0,3,15,4,1,East
164,4.36,60,1732,0,1,29,16,0,North
165,10.17,17,2016,0,2,9,18,0,West
166,5.55,45,1167,0,1,28,6,1,South
167,9.78,28,1654,1,4,16,14,1,South
168,7.18,49,2027,1,3,6,19,1,North
169,11.89,20,462,0,1,25,16,0,East
170,5.85,16,875,0,3,19,6,0,North
171,5.6,43,2064,0,3,3,19,1,West
172,1.43,39,316,0,1,19,12,0,North
173,8.89,50,263,0,5,27,19,1,West
174,11.76,13,950,0,2,0,7,0,North
175,9.65,27,339,1,5,6,18,0,South
176,1.14,26,569,1,5,6,9,1,East
177,11.75,42,1876,0,4,24,18,1,South
178,10.9,38,2418,1,3,3,7,0,North
179,3.82,30,238,0,1,4,10,1,East
180,7.62,14,522,1,3,23,4,0,North
181,6.48,24,2456,1,2,9,17,1,West
182,8.39,22,2015,0,5,16,13,1,East
183,3.59,28,1415,0,3,22,17,0,North
184,11.36,57,243,1,1,15,6,0,West
185,7.39,39,384,0,2,29,4,0,South
186,10.69,30,2490,1,2,16,7,0,West
187,9.61,44,1745,1,5,12,20,0,East
188,8.41,30,1859,1,5,23,15,0,North
189,1.54,22,1689,1,4,17,7,0,South
190,4.85,34,526,0,3,22,18,0,West
191,11.67,16,2239,0,4,27,3,1,North
192,6.51,19,1720,0,1,14,5,1,South
193,11.62,40,1951,1,2,26,4,1,North
194,3.23,10,2389,1,4,24,13,0,South
195,3.5,11,2438,1,1,17,12,1,South
196,5.39,26,1701,1,1,29,20,0,East
197,9.87,18,332,1,3,23,8,1,North
198,11.26,59,496,1,3,16,3,1,East
199,6.98,56,1639,1,3,7,2,1,North
200,4.09,18,731,0,4,11,18,0,North
201,3.72,20,1364,0,5,5,7,0,East
202,2.23,48,733,1,4,7,18,1,East
203,7.59,43,1973,1,4,14,18,0,East
204,2.4,43,1342,1,2,17,17,1,North
205,4.73,10,1846,0,1,2,17,0,South
206,5.59,40,2103,1,4,17,6,0,North
207,2.23,46,1863,0,1,22,20,0,South
208,4.53,31,2284,0,3,21,16,1,North
209,10.26,25,368,1,5,25,12,1,South
210,8.25,17,1732,0,2,27,16,1,East
211,4.95,38,525,1,5,18,4,1,East
212,10.1,38,1198,1,1,4,5,0,South
213,5.92,27,2088,0,2,22,18,1,North
214,9.9,47,1628,1,5,26,6,0,West
215,8.83,22,1549,1,4,8,12,1,South
216,2.26,23,1129,0,1,21,18,0,West
217,1.97,18,1212,0,1,27,16,1,South
218,7.66,50,1159,0,3,23,15,1,West
219,6.71,42,1919,1,2,5,6,1,West
220,11.23,51,1583,1,3,28,20,0,West
221,5.39,56,842,0,5,14,10,0,West
222,5.78,52,1410,0,5,25,10,0,South
223,8.66,29,2362,1,1,1,3,0,East
224,4.22,12,1251,0,2,7,7,1,South
225,11.28,26,1828,0,1,26,3,1,North
226,11.39,27,621,0,3,27,13,0,South
227,5.85,14,945,1,3,4,12,0,South
228,5.58,20,346,1,3,29,1,0,East
229,2.68,49,1613,1,5,20,6,1,East
230,5.27,11,1883,0,4,5,17,1,South
231,10.32,29,1495,1,3,5,13,1,West
232,10.61,17,1794,0,3,18,8,1,North
233,9.67,27,2057,0,2,24,17,1,North
234,4.93,51,1235,0,5,13,2,0,East
235,2.76,59,1371,0,3,8,3,0,North
236,6.74,46,272,1,1,21,3,1,South
237,5.64,31,975,0,2,17,10,1,South
238,8.89,35,1023,0,5,26,14,1,East
239,6.71,60,1131,1,4,22,12,0,South
240,4.15,35,1207,1,3,11,10,1,South
241,3.67,13,804,0,5,12,8,1,East
242,2.78,51,928,0,5,5,2,1,East
243,10.83,25,709,1,2,0,12,0,East
244,11.42,42,999,1,5,27,11,1,East
245,8.21,21,439,1,1,14,3,1,West
246,9.02,16,729,0,3,15,1,1,East
247,7.82,52,380,1,5,2,9,0,South
248,6.78,49,2262,0,1,4,7,1,West
249,11.21,57,777,1,4,28,1,1,South
250,7.77,31,210,1,2,27,12,1,West
251,9.09,42,1990,0,3,7,20,0,South
252,10.23,36,1878,1,1,23,6,0,East
253,5.15,38,221,0,5,15,4,1,North
254,9.2,31,232,0,5,16,17,0,North
255,11.25,38,1058,1,1,6,17,1,West
256,10.63,42,1270,0,5,15,1,1,North
257,8.16,29,2129,0,1,26,8,1,North
258,9.04,36,1048,0,4,14,6,1,East
259,4.41,59,1909,1,1,12,9,0,South
260,4.87,11,555,0,3,11,15,1,West
261,1.03,37,1539,1,3,14,3,0,North
262,3.43,36,1899,0,3,16,15,1,North
263,11.92,15,2033,1,1,28,18,1,East
264,8.95,18,2217,1,4,30,20,1,East
265,9.76,29,970,0,1,3,11,0,North
266,3.15,59,776,0,1,8,19,1,West
267,9.52,48,2499,0,5,3,8,0,North
268,1.18,21,1077,0,1,8,16,1,South
269,10.7,47,2438,1,5,27,17,1,North
270,11.8,53,1531,1,4,30,3,0,North
271,5.98,58,990,1,4,26,3,0,East
272,10.67,13,905,0,2,24,6,1,North
273,11.59,20,2170,0,2,9,10,1,South
274,2.86,23,556,1,3,15,1,0,East
275,5.12,59,1701,0,2,25,19,0,North
276,3.07,19,1334,1,4,4,19,0,South
277,9.02,35,1023,0,4,7,11,0,West
278,8.12,56,782,0,2,20,20,1,South
279,6.06,39,2423,1,5,14,19,0,South
280,1.87,22,1486,1,3,2,2,1,West
281,8.83,12,2412,1,2,7,13,0,West
282,11.9,23,1509,1,4,2,6,0,West
283,4.8,22,1715,0,1,10,11,1,South
284,11.77,16,1055,0,2,10,1,0,North
285,10.53,41,506,0,4,23,10,1,East
286,4.67,17,2089,0,3,10,4,1,East
287,2.5,53,618,1,3,26,20,1,West
288,8.77,23,2264,0,3,19,6,1,East
289,8.5,12,564,0,1,3,10,0,West
290,8.54,50,2365,1,1,17,2,1,North
291,10.07,12,1581,1,3,28,15,0,North
292,2.53,22,1749,0,5,13,9,1,East
293,3.48,11,1854,0,4,19,3,1,West
294,10.76,38,2199,0,5,18,19,0,West
295,6.33,59,873,0,2,23,9,1,East
296,8.44,12,2343,1,4,17,6,1,West
297,7.63,47,1439,1,5,17,2,1,West
298,8.06,45,1459,1,3,3,13,0,West
299,2.05,41,361,0,2,27,1,0,North
300,10.59,53,1031,0,3,29,8,1,West
301,10.87,16,1131,1,2,2,18,1,East
302,10.13,56,1039,1,3,17,16,1,North
303,8.44,43,840,0,1,30,20,0,East
304,3.92,18,1766,0,3,8,5,0,South
305,8.8,53,592,1,1,19,6,1,South
306,8.89,52,225,0,3,9,20,1,South
307,5.36,12,435,1,4,14,2,1,East
308,4.89,14,1697,0,5,12,15,1,South
309,3.77,60,303,0,3,9,11,0,North
310,4.8,14,879,1,2,14,9,1,North
311,7.98,35,2083,0,5,16,20,0,East
312,2.5,43,1070,0,4,8,19,1,West
313,1.89,10,1339,0,2,3,13,0,East
314,11.95,42,574,0,4,6,2,1,South
315,5.8,34,2395,1,3,10,10,0,West
316,11.6,18,1155,0,1,17,17,1,East
317,9.62,31,2363,1,4,5,9,0,North
318,8.61,13,204,0,3,7,4,1,North
319,9.43,29,231,0,2,17,7,1,West
320,7.4,37,1955,0,3,12,15,0,West
321,3.2,47,673,0,4,19,13,1,East
322,3.04,54,514,0,4,19,4,1,West
323,6.17,42,1998,0,2,30,7,0,South
324,4.66,27,2090,1,3,25,9,1,North
325,4.31,59,2404,1,1,6,19,1,South
326,1.28,20,1629,1,5,1,1,0,North
327,3.68,23,1511,0,5,7,5,1,East
328,8.91,53,2134,1,4,24,5,0,South
329,1.63,43,1841,0,4,9,8,1,North
330,8.71,14,1807,0,2,6,14,1,West
331,8.13,40,2041,0,3,19,20,1,South
332,9.54,32,2465,0,2,25,13,1,North
333,2.53,30,1131,1,3,24,3,1,North
334,5.01,17,2365,1,1,0,2,0,East
335,3.39,35,2263,1,2,14,1,0,West
336,2.89,43,1240,1,5,15,1,1,North
337,10.42,28,1202,1,1,2,3,0,North
338,6.86,28,1608,1,3,19,10,1,North
339,7.12,43,939,0,4,5,19,1,West
340,9.42,44,464,1,3,20,18,1,South
341,4.14,57,1611,1,3,1,7,0,East
342,4.7,26,966,0,5,17,13,0,West
343,4.08,22,2048,0,5,3,1,1,West
344,1.11,26,229,1,4,30,5,0,North
345,8.91,56,350,0,4,28,7,1,East
346,1.44,18,1235,1,5,22,14,1,West
347,8.67,25,564,1,4,8,12,1,East
348,7.72,17,1466,0,3,23,10,1,North
349,2.57,45,1299,1,4,27,17,0,West
350,9.44,55,981,1,4,1,10,1,East
351,10.41,59,1540,1,4,27,9,0,South
352,3.95,36,1934,0,3,29,5,1,South
353,3.26,34,2213,0,3,27,9,0,South
354,7.24,32,231,1,4,23,2,0,North
355,2.93,47,311,1,3,11,8,0,North
356,7.37,36,267,1,4,17,3,0,South
357,9.15,13,393,0,3,4,4,0,South
358,1.47,60,1917,1,3,20,1,0,West
359,11.63,21,1604,1,1,5,2,1,East
360,2.35,42,2061,1,2,20,2,1,North
361,6.83,12,1459,0,3,14,18,1,East
362,10.95,42,2100,0,4,5,7,0,East
363,7.53,26,230,0,5,17,18,1,South
364,11.99,47,1425,0,3,10,17,1,North
365,5.5,47,942,0,5,11,8,0,East
366,3.08,11,996,1,4,29,16,1,West
367,11.34,30,1547,0,2,14,17,1,East
368,11.84,50,2008,1,2,16,18,1,East
369,7.06,53,321,0,2,7,1,1,South
370,5.03,40,1525,0,4,17,15,1,West
371,3.92,25,1318,0,3,21,11,0,West
372,3.32,15,317,1,4,2,19,1,West
373,4.09,11,2200,1,3,30,18,1,East
374,7.87,23,2455,0,2,25,4,0,East
375,8.04,48,1815,0,4,7,15,1,North
376,1.76,14,788,1,2,7,8,1,South
377,10.33,36,2384,0,5,20,9,1,North
378,8.64,19,2086,0,5,22,17,0,North
379,11.95,32,1849,0,3,30,14,0,North
380,2.73,44,1970,0,1,5,20,0,East
381,5.07,20,2474,0,3,27,11,1,West
382,3.22,14,926,1,1,3,12,0,North
383,8.46,36,2109,0,2,21,6,0,East
384,2.05,47,1908,1,3,18,13,0,North
385,2.54,53,1323,1,4,4,16,1,East
386,6.95,23,2483,1,2,18,16,1,West
387,7.06,38,998,1,2,28,18,1,North
388,1.13,49,1673,1,4,18,15,1,North
389,9.9,51,475,1,1,21,1,0,North
390,9.93,15,1021,1,2,5,2,0,East
391,5.54,55,545,1,3,25,8,0,East
392,3.65,52,2030,1,5,10,5,1,East
393,5.43,36,1230,1,1,14,7,1,West
394,1.83,37,937,0,4,14,1,1,West
395,2.13,57,662,1,3,22,20,0,East
396,7.67,15,2088,0,1,6,20,1,North
397,3.05,35,2097,0,4,6,9,1,South
398,9.75,16,2347,1,2,17,10,1,North
399,3.35,20,1818,1,2,11,16,1,East
400,1.01,58,1271,0,5,7,18,1,East
401,9.47,24,542,1,3,16,3,0,East
402,7.58,26,1342,0,5,22,5,1,East
403,11.7,59,1726,0,3,1,11,1,West
404,11.56,42,2343,0,2,21,9,0,West
405,7.52,21,1622,1,1,18,6,0,South
406,11.02,12,1776,1,2,17,1,0,South
407,11.75,14,404,1,4,3,20,0,North
408,7.96,16,1635,1,2,13,16,0,South
409,2.98,26,2496,0,5,10,4,1,North
410,4.07,40,882,1,5,14,14,0,West
411,8.18,11,1100,1,2,27,16,0,East
412,7.04,55,730,1,1,11,10,0,East
413,4.37,24,1887,0,3,27,15,0,East
414,1.58,30,558,0,1,17,20,1,East
415,6.52,53,911,0,1,12,14,1,East
416,9.19,17,878,1,1,16,5,1,South
417,2.2,42,517,1,4,26,1,1,East
418,8.6,31,440,0,5,8,15,1,North
419,7.78,44,392,1,5,10,19,1,South
420,5.62,30,460,1,1,27,6,1,West
421,11.12,27,2171,0,3,9,16,1,South
422,11.57,28,657,0,5,27,17,1,North
423,4.33,49,1150,0,2,27,12,0,East
424,3.62,33,606,0,2,7,8,0,South
425,6.66,59,747,0,3,24,10,0,East
426,7.58,58,1871,1,1,26,3,0,South
427,11.16,60,1991,1,2,15,7,0,South
428,8.88,21,1690,0,5,27,5,0,West
429,10.76,31,430,0,1,20,2,0,West
430,6.46,32,1215,1,4,12,7,1,South
431,8.97,52,918,0,5,14,14,0,North
432,4.76,32,2367,0,5,18,1,0,West
433,4.72,43,348,1,1,21,4,1,North
434,1.63,39,2268,0,4,19,7,0,North
435,10.35,41,2461,1,3,21,5,0,South
436,5.16,43,1646,1,2,22,5,0,South
437,11.69,21,462,1,5,24,3,1,South
438,11.52,25,839,0,2,4,4,0,West
439,11.35,25,1389,0,5,12,15,1,North
440,11.6,25,1640,0,4,4,7,1,South
441,6.6,20,1389,1,5,23,18,1,North
442,8.27,54,1009,0,5,17,5,0,West
443,11.89,37,1559,0,5,19,6,1,West
444,10.82,58,1766,1,1,12,8,1,South
445,8.49,19,2107,1,1,2,15,0,North
446,1.3,51,241,1,3,4,17,1,North
447,6.71,27,990,1,2,7,14,0,West
448,2.82,59,1371,0,2,28,6,0,South
449,6.86,36,2211,1,1,3,11,0,South
450,5.53,48,1601,0,4,3,16,1,South
451,11.91,24,1334,0,2,3,20,1,East
452,8.63,50,900,0,1,16,14,0,East
453,4.37,27,2137,0,5,5,1,1,West
454,8.54,17,498,0,3,1,4,0,South
455,10.99,49,1267,0,4,23,10,1,North
456,5.14,56,472,1,1,29,2,1,East
457,6.54,30,1585,0,1,11,16,0,South
458,11.4,57,2165,0,4,18,20,0,North
459,3.83,41,1165,0,1,1,9,1,West
460,1.11,41,1161,0,5,20,16,0,West
461,3.65,16,395,1,5,20,14,0,West
462,5.52,35,1164,0,4,12,13,1,South
463,1.27,37,1366,1,5,29,4,0,South
464,8.05,48,1856,1,5,6,4,0,West
465,6.95,56,699,0,1,15,3,1,North
466,5.88,18,1793,0,4,21,4,1,West
467,4.61,49,1211,1,2,12,4,0,East
468,1.83,57,462,1,4,20,3,1,South
469,6.38,12,2361,1,4,21,5,0,North
470,11.88,17,853,0,1,22,20,0,East
471,1.13,36,1057,1,2,9,14,0,South
472,10.21,19,1699,0,3,25,7,1,West
473,1.57,19,2045,1,5,25,20,0,South
474,2.8,45,340,1,2,9,5,0,East
475,11.62,25,2107,0,4,7,5,0,East
476,11.97,47,2323,1,4,17,7,1,North
477,11.58,59,1734,1,4,16,2,0,East
478,2.61,39,987,1,2,3,14,1,East
479,4.1,57,359,0,2,21,4,1,North
480,8.02,52,1054,0,2,7,14,1,South
481,11.8,54,957,0,1,3,6,1,South
482,2.89,25,870,1,2,29,7,0,South
483,1.03,60,1505,1,4,24,11,0,West
484,7.2,10,1968,1,1,12,1,1,South
485,8.35,10,2286,1,1,7,4,0,East
486,7.18,16,1134,1,3,18,14,1,North
487,11.59,56,1838,1,1,12,1,0,East
488,7.17,25,1265,1,4,23,11,0,East
489,6.21,54,877,1,2,3,17,1,South
490,1.13,28,656,0,4,29,8,1,West
491,7.76,11,1566,1,4,11,9,0,North
492,9.04,38,1206,1,1,25,17,1,West
493,8.5,36,1630,1,2,3,8,1,North
494,2.16,20,1691,1,2,13,9,0,West
495,9.2,20,1034,1,1,8,3,1,East
496,5.88,36,1100,0,3,6,19,0,South
497,2.85,55,1583,1,1,14,3,1,East
498,2.26,49,1708,0,1,27,20,1,East
499,2.64,24,1551,1,4,8,9,1,East
500,2.64,34,1422,0,3,9,19,1,North
501,8.76,58,1018,0,4,13,18,0,South
502,8.07,57,754,1,3,9,3,0,South
503,3.59,23,302,0,4,11,9,1,South
504,1.23,19,1156,0,2,16,13,1,West
505,10.98,51,757,0,3,20,11,1,West
506,5.67,15,1482,1,5,20,14,1,West
507,5.49,19,1072,1,3,29,7,1,West
508,8.05,34,1357,0,1,0,1,1,North
509,4.03,53,1636,0,3,9,7,1,South
510,5.18,23,1761,1,5,23,6,0,North
511,3.53,55,2261,1,4,7,14,1,West
512,6.72,53,1277,0,4,21,19,1,South
513,1.48,42,207,1,1,28,8,1,East
514,7.77,37,2243,0,1,19,7,1,West
515,11.56,45,1484,0,4,29,6,0,East
516,7.64,53,209,1,3,5,18,1,West
517,4.3,57,337,1,4,25,3,0,North
518,9.12,54,384,1,3,3,14,0,West
519,11.82,59,2455,0,2,3,5,0,East
520,8.98,52,237,1,1,3,9,1,West
521,11.32,32,231,1,4,24,7,1,South
522,5.61,33,1764,0,5,4,10,1,North
523,9.42,55,807,0,3,20,8,0,South
524,2.75,36,1794,0,1,15,8,1,North
525,1.88,36,1601,0,5,11,9,1,West
526,4.14,19,1640,1,3,18,15,1,East
527,2.06,10,246,1,5,28,12,0,North
528,5.16,59,1865,0,4,6,16,1,North
529,2.7,20,1593,0,5,1,18,0,West
530,2.09,26,1794,1,2,3,16,0,North
531,10.07,55,1499,1,5,25,11,1,North
532,9.65,52,1355,1,5,21,4,1,South
533,3.58,18,1761,0,3,14,15,0,South
534,11.03,13,1892,0,2,6,10,1,East
535,5.82,14,2220,1,2,28,17,0,North
536,9.05,23,2267,0,4,8,17,0,East
537,7.97,36,1164,0,5,6,4,0,South
538,8.07,26,1361,1,1,2,20,1,East
539,10.39,38,1877,1,1,5,16,1,East
540,4.77,37,1016,1,3,2,4,0,South
541,11.12,29,2113,1,3,23,16,1,West
542,10.87,56,1550,0,3,0,11,1,South
543,10.35,15,685,0,5,24,13,1,South
544,9.37,49,477,1,2,12,5,0,South
545,6.66,21,1711,1,5,21,12,1,West
546,9.2,43,1802,0,2,27,2,1,West
547,9.76,11,513,0,4,24,7,1,North
548,1.9,56,418,1,2,23,19,0,North
549,3.13,43,2444,0,4,28,6,0,South
550,2.85,48,719,1,1,21,14,0,East
551,7.49,27,540,1,5,18,1,1,North
552,7.05,25,723,0,1,23,2,1,West
553,2.99,34,976,0,3,6,7,0,East
554,4.47,60,897,0,4,14,17,0,South
555,10.66,26,384,1,5,3,18,1,North
556,7.34,41,1011,0,5,25,4,0,West
557,4.31,54,1800,1,2,0,11,1,East
558,1.21,42,1122,0,3,6,13,0,West
559,7.95,42,1948,0,2,9,1,1,West
560,7.31,13,621,1,1,9,3,0,East
561,1.08,41,1942,1,2,7,17,0,South
562,6.38,38,1783,1,2,17,16,0,North
563,9.22,43,1977,0,1,23,1,0,South
564,7.5,23,1988,0,3,27,5,1,North
565,2.81,37,2031,1,3,11,15,1,East
566,1.76,13,1473,1,3,2,12,1,West
567,5.34,27,1150,1,5,12,12,1,East
568,2.06,38,1460,0,3,3,18,1,East
569,11.74,19,1778,1,2,0,16,0,West
570,11.1,27,558,0,1,21,11,1,North
571,8.16,37,1766,0,5,0,20,0,West
572,9.25,33,201,0,4,1,7,1,East
573,5.12,21,1478,1,5,24,12,1,South
574,9.42,19,1968,0,2,3,6,0,East
575,10.66,59,591,0,5,28,16,0,East
576,3.24,42,973,1,2,12,19,1,East
577,11.16,35,1098,1,1,2,5,0,North
578,7.99,39,1964,1,4,8,6,1,South
579,4.67,29,1593,0,3,6,17,0,East
580,9.55,57,1274,0,3,26,7,1,North
581,2.22,42,2477,1,5,16,2,0,East
582,3.47,18,701,0,2,16,14,0,North
583,9.81,41,1091,0,3,17,2,1,West
584,8.92,17,939,1,3,26,7,1,East
585,10.55,40,636,1,5,7,3,0,West
586,9.29,57,2008,1,4,20,15,1,South
587,10.06,23,811,1,4,28,20,0,West
588,1.06,58,561,0,5,4,10,0,West
589,7.65,28,1478,0,1,20,1,1,West
590,9.78,40,709,0,3,24,14,0,North
591,2.19,58,1756,1,5,30,18,1,North
592,4.22,34,1602,1,3,25,3,0,North
593,6.41,39,1286,0,2,29,5,1,North
594,2.65,43,860,1,5,25,13,1,South
595,3.27,22,2155,0,2,30,20,0,North
596,6.12,19,961,1,3,9,4,1,West
597,2.15,54,1284,0,4,25,4,1,North
598,1.3,17,835,0,2,11,10,0,South
599,5.93,21,1798,1,5,26,14,0,North
600,6.14,19,2432,0,4,3,9,1,North
601,9.47,23,2397,1,5,21,1,0,North
602,11.04,22,1205,1,1,2,11,0,North
603,3.38,53,886,0,2,14,7,1,West
604,6.77,17,328,0,5,11,15,0,North
605,8.27,47,2230,0,3,1,3,1,East
606,11.51,44,1373,1,2,11,17,0,North
607,2.61,30,1736,1,4,19,7,1,South
608,1.53,12,443,1,1,8,3,1,South
609,1.38,27,2299,0,4,25,20,0,South
610,9.4,39,1610,0,1,29,2,0,South
611,8.21,33,501,0,1,14,6,0,South
612,10.03,33,1968,1,5,21,20,1,South
