order_id,distance_km,delivery_time,order_value,peak_hour,batch_size,rider_idle_time,warehouse_wait_time,cancelled,city_zone,cost_per_order,sla_violation
133,11.89,11,1569,0,1,19,16,0,South,111.62,0
134,9.32,43,548,0,4,28,13,1,East,139.06,1
135,11.1,57,2253,1,3,8,7,0,East,174.3,1
136,8.75,58,2467,1,4,28,9,1,North,157.0,1
137,4.25,19,2175,1,1,4,19,0,West,62.5,0
138,3.17,23,2026,1,2,22,11,1,East,59.86,0
139,7.54,45,230,1,1,4,15,1,West,127.82,1
140,7.62,19,664,1,2,14,7,0,South,89.46000000000001,0
141,3.96,24,552,0,4,1,5,1,East,67.68,0
142,10.33,18,2084,1,1,11,13,0,South,109.64,0
143,7.68,50,2267,0,3,7,2,1,West,136.44,1
144,7.51,14,1207,1,2,24,6,0,South,81.08,0
145,1.68,30,1790,1,4,25,1,1,North,58.44,0
146,5.82,32,278,0,4,10,14,0,North,94.56,1
147,9.24,50,573,0,5,9,4,1,North,148.92000000000002,1
148,5.14,45,1490,0,4,3,15,1,West,108.62,1
149,9.11,57,1726,0,4,1,20,0,North,158.38,1
150,7.12,21,273,1,1,13,12,1,East,88.46000000000001,0
151,11.99,14,351,1,3,10,10,0,East,116.92,0
152,1.63,48,554,1,5,7,8,1,North,85.03999999999999,1
153,10.35,25,1783,1,1,7,19,1,West,120.3,0
154,7.28,30,1453,0,3,15,11,0,West,103.24000000000001,0
155,10.68,46,1938,0,3,17,17,1,East,154.44,1
156,6.46,14,1885,1,4,16,14,1,North,72.68,0
157,4.24,34,477,1,4,21,15,0,East,84.92,1
158,11.2,21,1280,1,4,24,15,1,North,121.1,0
159,2.92,43,223,0,3,4,15,1,East,87.86,1
160,9.71,35,1588,1,5,16,2,1,West,130.18,1
161,1.81,10,442,0,1,10,14,0,South,29.48,0
162,5.89,40,886,1,3,3,9,0,North,107.12,1
163,4.22,36,824,0,3,15,4,1,East,87.75999999999999,1
164,4.36,60,1732,0,1,29,16,0,North,124.88,1
165,10.17,17,2016,0,2,9,18,0,West,106.86,0
166,5.55,45,1167,0,1,28,6,1,South,111.9,1
167,9.78,28,1654,1,4,16,14,1,South,120.24,0
168,7.18,49,2027,1,3,6,19,1,North,130.94,1
169,11.89,20,462,0,1,25,16,0,East,125.12,0
170,5.85,16,875,0,3,19,6,0,North,70.8,0
171,5.6,43,2064,0,3,3,19,1,West,109.3,1
172,1.43,39,316,0,1,19,12,0,North,69.94,1
173,8.89,50,263,0,5,27,19,1,West,146.12,1
174,11.76,13,950,0,2,0,7,0,North,113.58,0
175,9.65,27,339,1,5,6,18,0,South,117.7,0
176,1.14,26,569,1,5,6,9,1,East,48.12,0
177,11.75,42,1876,0,4,24,18,1,South,157.0,1
178,10.9,38,2418,1,3,3,7,0,North,144.2,1
179,3.82,30,238,0,1,4,10,1,East,75.56,0
180,7.62,14,522,1,3,23,4,0,North,81.96000000000001,0
181,6.48,24,2456,1,2,9,17,1,West,87.84,0
182,8.39,22,2015,0,5,16,13,1,East,100.12,0
183,3.59,28,1415,0,3,22,17,0,North,70.72,0
184,11.36,57,243,1,1,15,6,0,West,176.38,1
185,7.39,39,384,0,2,29,4,0,South,117.62,1
186,10.69,30,2490,1,2,16,7,0,West,130.51999999999998,0
187,9.61,44,1745,1,5,12,20,0,East,142.88,1
188,8.41,30,1859,1,5,23,15,0,North,112.28,0
189,1.54,22,1689,1,4,17,7,0,South,45.32,0
190,4.85,34,526,0,3,22,18,0,West,89.8,1
191,11.67,16,2239,0,4,27,3,1,North,117.36,0
192,6.51,19,1720,0,1,14,5,1,South,80.58,0
193,11.62,40,1951,1,2,26,4,1,North,152.95999999999998,1
194,3.23,10,2389,1,4,24,13,0,South,40.84,0
195,3.5,11,2438,1,1,17,12,1,South,44.5,0
196,5.39,26,1701,1,1,29,20,0,East,82.12,0
197,9.87,18,332,1,3,23,8,1,North,105.96,0
198,11.26,59,496,1,3,16,3,1,East,178.57999999999998,1
199,6.98,56,1639,1,3,7,2,1,North,139.84,1
200,4.09,18,731,0,4,11,18,0,North,59.72,0
201,3.72,20,1364,0,5,5,7,0,East,59.760000000000005,0
202,2.23,48,733,1,4,7,18,1,East,89.84,1
203,7.59,43,1973,1,4,14,18,0,East,125.22,1
204,2.4,43,1342,1,2,17,17,1,North,83.7,1
205,4.73,10,1846,0,1,2,17,0,South,52.84,0
206,5.59,40,2103,1,4,17,6,0,North,104.72,1
207,2.23,46,1863,0,1,22,20,0,South,86.84,1
208,4.53,31,2284,0,3,21,16,1,North,82.74000000000001,1
209,10.26,25,368,1,5,25,12,1,South,119.58,0
210,8.25,17,1732,0,2,27,16,1,East,91.5,0
211,4.95,38,525,1,5,18,4,1,East,96.6,1
212,10.1,38,1198,1,1,4,5,0,South,137.8,1
213,5.92,27,2088,0,2,22,18,1,North,87.86,0
214,9.9,47,1628,1,5,26,6,0,West,149.7,1
215,8.83,22,1549,1,4,8,12,1,South,103.64,0
216,2.26,23,1129,0,1,21,18,0,West,52.58,0
217,1.97,18,1212,0,1,27,16,1,South,42.76,0
218,7.66,50,1159,0,3,23,15,1,West,136.28,1
219,6.71,42,1919,1,2,5,6,1,West,116.68,1
220,11.23,51,1583,1,3,28,20,0,West,166.34,1
221,5.39,56,842,0,5,14,10,0,West,127.12,1
222,5.78,52,1410,0,5,25,10,0,South,124.24000000000001,1
223,8.66,29,2362,1,1,1,3,0,East,112.78,0
224,4.22,12,1251,0,2,7,7,1,South,51.76,0
225,11.28,26,1828,0,1,26,3,1,North,129.24,0
226,11.39,27,621,0,3,27,13,0,South,131.62,0
227,5.85,14,945,1,3,4,12,0,South,67.8,0
228,5.58,20,346,1,3,29,1,0,East,74.64,0
229,2.68,49,1613,1,5,20,6,1,East,94.94,1
230,5.27,11,1883,0,4,5,17,1,South,58.66,0
231,10.32,29,1495,1,3,5,13,1,West,126.06,0
232,10.61,17,1794,0,3,18,8,1,North,110.38,0
233,9.67,27,2057,0,2,24,17,1,North,117.86,0
234,4.93,51,1235,0,5,13,2,0,East,115.94,1
235,2.76,59,1371,0,3,8,3,0,North,110.58,1
236,6.74,46,272,1,1,21,3,1,South,122.92,1
237,5.64,31,975,0,2,17,10,1,South,91.62,1
238,8.89,35,1023,0,5,26,14,1,East,123.62,1
239,6.71,60,1131,1,4,22,12,0,South,143.68,1
240,4.15,35,1207,1,3,11,10,1,South,85.7,1
241,3.67,13,804,0,5,12,8,1,East,48.86,0
242,2.78,51,928,0,5,5,2,1,East,98.74,1
243,10.83,25,709,1,2,0,12,0,East,124.14,0
244,11.42,42,999,1,5,27,11,1,East,154.36,1
245,8.21,21,439,1,1,14,3,1,West,97.18,0
246,9.02,16,729,0,3,15,1,1,East,96.16,0
247,7.82,52,380,1,5,2,9,0,South,140.56,1
248,6.78,49,2262,0,1,4,7,1,West,127.74000000000001,1
249,11.21,57,777,1,4,28,1,1,South,175.18,1
250,7.77,31,210,1,2,27,12,1,West,108.66,1
251,9.09,42,1990,0,3,7,20,0,South,135.72,1
252,10.23,36,1878,1,1,23,6,0,East,135.84,1
253,5.15,38,221,0,5,15,4,1,North,98.2,1
254,9.2,31,232,0,5,16,17,0,North,120.1,1
255,11.25,38,1058,1,1,6,17,1,West,147.0,1
256,10.63,42,1270,0,5,15,1,1,North,148.04000000000002,1
257,8.16,29,2129,0,1,26,8,1,North,108.78,0
258,9.04,36,1048,0,4,14,6,1,East,126.32,1
259,4.41,59,1909,1,1,12,9,0,South,123.78,1
260,4.87,11,555,0,3,11,15,1,West,55.46,0
261,1.03,37,1539,1,3,14,3,0,North,63.74,1
262,3.43,36,1899,0,3,16,15,1,North,81.44,1
263,11.92,15,2033,1,1,28,18,1,East,117.86,0
264,8.95,18,2217,1,4,30,20,1,East,98.6,0
265,9.76,29,970,0,1,3,11,0,North,121.58,0
266,3.15,59,776,0,1,8,19,1,West,113.7,1
267,9.52,48,2499,0,5,3,8,0,North,148.16,1
268,1.18,21,1077,0,1,8,16,1,South,40.94,0
269,10.7,47,2438,1,5,27,17,1,North,156.1,1
270,11.8,53,1531,1,4,30,3,0,North,173.9,1
271,5.98,58,990,1,4,26,3,0,East,134.84,1
272,10.67,13,905,0,2,24,6,1,North,104.86,0
273,11.59,20,2170,0,2,9,10,1,South,122.72,0
274,2.86,23,556,1,3,15,1,0,East,57.379999999999995,0
275,5.12,59,1701,0,2,25,19,0,North,129.46,1
276,3.07,19,1334,1,4,4,19,0,South,53.06,0
277,9.02,35,1023,0,4,7,11,0,West,124.66,1
278,8.12,56,782,0,2,20,20,1,South,148.95999999999998,1
279,6.06,39,2423,1,5,14,19,0,South,106.97999999999999,1
280,1.87,22,1486,1,3,2,2,1,West,47.96,0
281,8.83,12,2412,1,2,7,13,0,West,88.64,0
282,11.9,23,1509,1,4,2,6,0,West,129.7,0
283,4.8,22,1715,0,1,10,11,1,South,71.4,0
284,11.77,16,1055,0,2,10,1,0,North,118.16,0
285,10.53,41,506,0,4,23,10,1,East,145.74,1
286,4.67,17,2089,0,3,10,4,1,East,62.86,0
287,2.5,53,618,1,3,26,20,1,West,99.5,1
288,8.77,23,2264,0,3,19,6,1,East,104.66,0
289,8.5,12,564,0,1,3,10,0,West,86.0,0
290,8.54,50,2365,1,1,17,2,1,North,143.32,1
291,10.07,12,1581,1,3,28,15,0,North,98.56,0
292,2.53,22,1749,0,5,13,9,1,East,53.239999999999995,0
293,3.48,11,1854,0,4,19,3,1,West,44.34,0
294,10.76,38,2199,0,5,18,19,0,West,143.07999999999998,1
295,6.33,59,873,0,2,23,9,1,East,139.14,1
296,8.44,12,2343,1,4,17,6,1,West,85.52,0
297,7.63,47,1439,1,5,17,2,1,West,131.54,1
298,8.06,45,1459,1,3,3,13,0,West,131.98000000000002,1
299,2.05,41,361,0,2,27,1,0,North,77.9,1
300,10.59,53,1031,0,3,29,8,1,West,164.22,1
301,10.87,16,1131,1,2,2,18,1,East,110.96,0
302,10.13,56,1039,1,3,17,16,1,North,165.04000000000002,1
303,8.44,43,840,0,1,30,20,0,East,132.01999999999998,1
304,3.92,18,1766,0,3,8,5,0,South,58.36,0
305,8.8,53,592,1,1,19,6,1,South,149.9,1
306,8.89,52,225,0,3,9,20,1,South,149.12,1
307,5.36,12,435,1,4,14,2,1,East,60.88,0
308,4.89,14,1697,0,5,12,15,1,South,60.12,0
309,3.77,60,303,0,3,9,11,0,North,120.16,1
310,4.8,14,879,1,2,14,9,1,North,59.4,0
311,7.98,35,2083,0,5,16,20,0,East,116.34,1
312,2.5,43,1070,0,4,8,19,1,West,84.5,1
313,1.89,10,1339,0,2,3,13,0,East,30.119999999999997,0
314,11.95,42,574,0,4,6,2,1,South,158.6,1
315,5.8,34,2395,1,3,10,10,0,West,97.4,1
316,11.6,18,1155,0,1,17,17,1,East,119.8,0
317,9.62,31,2363,1,4,5,9,0,North,123.46,1
318,8.61,13,204,0,3,7,4,1,North,88.38,0
319,9.43,29,231,0,2,17,7,1,West,118.94,0
320,7.4,37,1955,0,3,12,15,0,West,114.7,1
321,3.2,47,673,0,4,19,13,1,East,96.1,1
322,3.04,54,514,0,4,19,4,1,West,105.32,1
323,6.17,42,1998,0,2,30,7,0,South,112.36,1
324,4.66,27,2090,1,3,25,9,1,North,77.78,0
325,4.31,59,2404,1,1,6,19,1,South,122.97999999999999,1
326,1.28,20,1629,1,5,1,1,0,North,40.24,0
327,3.68,23,1511,0,5,7,5,1,East,63.94,0
328,8.91,53,2134,1,4,24,5,0,South,150.78,1
329,1.63,43,1841,0,4,9,8,1,North,77.53999999999999,1
330,8.71,14,1807,0,2,6,14,1,West,90.68,0
331,8.13,40,2041,0,3,19,20,1,South,125.04,1
332,9.54,32,2465,0,2,25,13,1,North,124.32,1
333,2.53,30,1131,1,3,24,3,1,North,65.24,0
334,5.01,17,2365,1,1,0,2,0,East,65.58,0
335,3.39,35,2263,1,2,14,1,0,West,79.62,1
336,2.89,43,1240,1,5,15,1,1,North,87.62,1
337,10.42,28,1202,1,1,2,3,0,North,125.36,0
338,6.86,28,1608,1,3,19,10,1,North,96.88,0
339,7.12,43,939,0,4,5,19,1,West,121.46000000000001,1
340,9.42,44,464,1,3,20,18,1,South,141.36,1
341,4.14,57,1611,1,3,1,7,0,East,118.62,1
342,4.7,26,966,0,5,17,13,0,West,76.6,0
343,4.08,22,2048,0,5,3,1,1,West,65.64,0
344,1.11,26,229,1,4,30,5,0,North,47.88,0
345,8.91,56,350,0,4,28,7,1,East,155.28,1
346,1.44,18,1235,1,5,22,14,1,West,38.519999999999996,0
347,8.67,25,564,1,4,8,12,1,East,106.86,0
348,7.72,17,1466,0,3,23,10,1,North,87.25999999999999,0
349,2.57,45,1299,1,4,27,17,0,West,88.06,1
350,9.44,55,981,1,4,1,10,1,East,158.01999999999998,1
351,10.41,59,1540,1,4,27,9,0,South,171.78,1
352,3.95,36,1934,0,3,29,5,1,South,85.6,1
353,3.26,34,2213,0,3,27,9,0,South,77.08,1
354,7.24,32,231,1,4,23,2,0,North,105.92,1
355,2.93,47,311,1,3,11,8,0,North,93.94,1
356,7.37,36,267,1,4,17,3,0,South,112.96000000000001,1
357,9.15,13,393,0,3,4,4,0,South,92.7,0
358,1.47,60,1917,1,3,20,1,0,West,101.76,1
359,11.63,21,1604,1,1,5,2,1,East,124.54,0
360,2.35,42,2061,1,2,20,2,1,North,81.8,1
361,6.83,12,1459,0,3,14,18,1,East,72.64,0
362,10.95,42,2100,0,4,5,7,0,East,150.6,1
363,7.53,26,230,0,5,17,18,1,South,99.24000000000001,0
364,11.99,47,1425,0,3,10,17,1,North,166.42000000000002,1
365,5.5,47,942,0,5,11,8,0,East,114.5,1
366,3.08,11,996,1,4,29,16,1,West,41.14,0
367,11.34,30,1547,0,2,14,17,1,East,135.72,0
368,11.84,50,2008,1,2,16,18,1,East,169.72,1
369,7.06,53,321,0,2,7,1,1,South,135.98,1
370,5.03,40,1525,0,4,17,15,1,West,100.24000000000001,1
371,3.92,25,1318,0,3,21,11,0,West,68.86,0
372,3.32,15,317,1,4,2,19,1,West,49.06,0
373,4.09,11,2200,1,3,30,18,1,East,49.22,0
374,7.87,23,2455,0,2,25,4,0,East,97.46000000000001,0
375,8.04,48,1815,0,4,7,15,1,North,136.32,1
376,1.76,14,788,1,2,7,8,1,South,35.08,0
377,10.33,36,2384,0,5,20,9,1,North,136.64,1
378,8.64,19,2086,0,5,22,17,0,North,97.62,0
379,11.95,32,1849,0,3,30,14,0,North,143.6,1
380,2.73,44,1970,0,1,5,20,0,East,87.84,1
381,5.07,20,2474,0,3,27,11,1,West,70.56,0
382,3.22,14,926,1,1,3,12,0,North,46.760000000000005,0
383,8.46,36,2109,0,2,21,6,0,East,121.68,1
384,2.05,47,1908,1,3,18,13,0,North,86.9,1
385,2.54,53,1323,1,4,4,16,1,East,99.82,1
386,6.95,23,2483,1,2,18,16,1,West,90.1,0
387,7.06,38,998,1,2,28,18,1,North,113.47999999999999,1
388,1.13,49,1673,1,4,18,15,1,North,82.53999999999999,1
389,9.9,51,475,1,1,21,1,0,North,155.7,1
390,9.93,15,1021,1,2,5,2,0,East,101.94,0
391,5.54,55,545,1,3,25,8,0,East,126.82,1
392,3.65,52,2030,1,5,10,5,1,East,107.2,1
393,5.43,36,1230,1,1,14,7,1,West,97.44,1
394,1.83,37,937,0,4,14,1,1,West,70.14,1
395,2.13,57,662,1,3,22,20,0,East,102.53999999999999,1
396,7.67,15,2088,0,1,6,20,1,North,83.86,0
397,3.05,35,2097,0,4,6,9,1,South,76.9,1
398,9.75,16,2347,1,2,17,10,1,North,102.0,0
399,3.35,20,1818,1,2,11,16,1,East,56.8,0
400,1.01,58,1271,0,5,7,18,1,East,95.08,1
401,9.47,24,542,1,3,16,3,0,East,111.76,0
402,7.58,26,1342,0,5,22,5,1,East,99.64,0
403,11.7,59,1726,0,3,1,11,1,West,182.1,1
404,11.56,42,2343,0,2,21,9,0,West,155.48000000000002,1
405,7.52,21,1622,1,1,18,6,0,South,91.66,0
406,11.02,12,1776,1,2,17,1,0,South,106.16,0
407,11.75,14,404,1,4,3,20,0,North,115.0,0
408,7.96,16,1635,1,2,13,16,0,South,87.68,0
409,2.98,26,2496,0,5,10,4,1,North,62.84,0
410,4.07,40,882,1,5,14,14,0,West,92.56,1
411,8.18,11,1100,1,2,27,16,0,East,81.94,0
412,7.04,55,730,1,1,11,10,0,East,138.82,1
413,4.37,24,1887,0,3,27,15,0,East,70.96000000000001,0
414,1.58,30,558,0,1,17,20,1,East,57.64,0
415,6.52,53,911,0,1,12,14,1,East,131.66,1
416,9.19,17,878,1,1,16,5,1,South,99.02,0
417,2.2,42,517,1,4,26,1,1,East,80.6,1
418,8.6,31,440,0,5,8,15,1,North,115.3,1
419,7.78,44,392,1,5,10,19,1,South,128.24,1
420,5.62,30,460,1,1,27,6,1,West,89.96000000000001,0
421,11.12,27,2171,0,3,9,16,1,South,129.45999999999998,0
422,11.57,28,657,0,5,27,17,1,North,134.56,0
423,4.33,49,1150,0,2,27,12,0,East,108.14,1
424,3.62,33,606,0,2,7,8,0,South,78.46000000000001,1
425,6.66,59,747,0,3,24,10,0,East,141.78,1
426,7.58,58,1871,1,1,26,3,0,South,147.64,1
427,11.16,60,1991,1,2,15,7,0,South,179.28,1
428,8.88,21,1690,0,5,27,5,0,West,102.54,0
429,10.76,31,430,0,1,20,2,0,West,132.57999999999998,1
430,6.46,32,1215,1,4,12,7,1,South,99.68,1
431,8.97,52,918,0,5,14,14,0,North,149.76,1
432,4.76,32,2367,0,5,18,1,0,West,86.08,1
433,4.72,43,348,1,1,21,4,1,North,102.25999999999999,1
434,1.63,39,2268,0,4,19,7,0,North,71.53999999999999,1
435,10.35,41,2461,1,3,21,5,0,South,144.3,1
436,5.16,43,1646,1,2,22,5,0,South,105.78,1
437,11.69,21,462,1,5,24,3,1,South,125.02,0
438,11.52,25,839,0,2,4,4,0,West,129.66,0
439,11.35,25,1389,0,5,12,15,1,North,128.3,0
440,11.6,25,1640,0,4,4,7,1,South,130.3,0
441,6.6,20,1389,1,5,23,18,1,North,82.8,0
442,8.27,54,1009,0,5,17,5,0,West,147.16,1
443,11.89,37,1559,0,5,19,6,1,West,150.62,1
444,10.82,58,1766,1,1,12,8,1,South,173.56,1
445,8.49,19,2107,1,1,2,15,0,North,96.42,0
446,1.3,51,241,1,3,4,17,1,North,86.9,1
447,6.71,27,990,1,2,7,14,0,West,94.18,0
448,2.82,59,1371,0,2,28,6,0,South,111.06,1
449,6.86,36,2211,1,1,3,11,0,South,108.88,1
450,5.53,48,1601,0,4,3,16,1,South,116.24000000000001,1
451,11.91,24,1334,0,2,3,20,1,East,131.28,0
452,8.63,50,900,0,1,16,14,0,East,144.04000000000002,1
453,4.37,27,2137,0,5,5,1,1,West,75.46000000000001,0
454,8.54,17,498,0,3,1,4,0,South,93.82,0
455,10.99,49,1267,0,4,23,10,1,North,161.42000000000002,1
456,5.14,56,472,1,1,29,2,1,East,125.12,1
457,6.54,30,1585,0,1,11,16,0,South,97.32,0
458,11.4,57,2165,0,4,18,20,0,North,176.7,1
459,3.83,41,1165,0,1,1,9,1,West,92.14,1
460,1.11,41,1161,0,5,20,16,0,West,70.38,1
461,3.65,16,395,1,5,20,14,0,West,53.2,0
462,5.52,35,1164,0,4,12,13,1,South,96.66,1
463,1.27,37,1366,1,5,29,4,0,South,65.66,1
464,8.05,48,1856,1,5,6,4,0,West,136.4,1
465,6.95,56,699,0,1,15,3,1,North,139.6,1
466,5.88,18,1793,0,4,21,4,1,West,74.03999999999999,0
467,4.61,49,1211,1,2,12,4,0,East,110.38,1
468,1.83,57,462,1,4,20,3,1,South,100.14,1
469,6.38,12,2361,1,4,21,5,0,North,69.03999999999999,0
470,11.88,17,853,0,1,22,20,0,East,120.54,0
471,1.13,36,1057,1,2,9,14,0,South,63.04,1
472,10.21,19,1699,0,3,25,7,1,West,110.18,0
